"";"Beobachtungen"
"1";201
"2";202
"3";203
"4";204
"5";205
"6";206
"7";207
"8";208
"9";209
"10";210
"11";211
"12";212
"13";213
"14";214
"15";215
"16";216
"17";217
"18";218
"19";219
"20";220
"21";221
"22";222
"23";223
"24";224
"25";225
"26";226
"27";227
"28";228
"29";229
"30";230
"31";231
"32";232
"33";233
"34";234
"35";235
"36";236
"37";237
"38";238
"39";239
"40";240
"41";241
"42";242
"43";243
"44";244
"45";245
"46";246
"47";247
"48";248
"49";249
"50";250
"51";251
"52";252
"53";253
"54";254
"55";255
"56";256
"57";257
"58";258
"59";259
"60";260
"61";261
"62";262
"63";263
"64";264
"65";265
"66";266
"67";267
"68";268
"69";269
"70";270
"71";271
"72";272
"73";273
"74";274
"75";275
"76";276
"77";277
"78";278
"79";279
"80";280
"81";281
"82";282
"83";283
"84";284
"85";285
"86";286
"87";287
"88";288
"89";289
"90";290
"91";291
"92";292
"93";293
"94";294
"95";295
"96";296
"97";297
"98";298
"99";299
"100";300
